$Price/Unit,% 1-Bed,% 2-Bed,% 3-Bed,% Studios,Affordable Type,Amenities,Anchor GLA,Anchor Tenants,Architect Name,Ask Rent/SF,Ask Rent/Unit,Average Weighted Rent,Avg Concessions %,Avg Rent-Direct (Industrial),Avg Rent-Direct (Office),Avg Rent-Direct (Retail),Avg Rent-Sublet (Industrial),Avg Rent-Sublet (Office),Avg Rent-Sublet (Retail),Avg Unit Size,Building Address,Building Class,Building Location,Building Name,Building Operating Expenses,Building Park,Building Status,Building Tax Expenses,Cap Rate,Ceiling Height Range,City,Closest Transit Stop,Closest Transit Stop Dist (mi),Closest Transit Stop Walk Time (min),Column Spacing,Construction Material,Core Factor,County Name,Cross Street,Days On Market,Developer Name,Direct Available Space,Direct Services,Direct Vacant Space,Drive Ins,Effective Rent/SF,Effective Rent/Unit,Energy Star,Exp Year,Features,For Sale Price,For Sale Status,Gas,Heating,LEED Certified,Land Area (AC),Last Sale Date,Last Sale Price,Latitude,Leasing Company Address,Leasing Company City State Zip,Leasing Company Contact,Leasing Company Fax,Leasing Company Name,Leasing Company Phone,Longitude,Market Name,Market Segment,Max Building Contiguous Space,Max Floor Contiguous Space,Number Of 1 Bedrooms,Number Of 2 Bedrooms,Number Of 3 Bedrooms,Number Of Cranes,Number Of Elevators,Number Of Loading Docks,Number Of Other Bedrooms,Number Of Parking Spaces,Number Of Stories,Number Of Studios,Number Of Units,Office Space,One Bedroom Mix,One Bedroom Rent High,One Bedroom Rent Low,Ops Expense,Ops Expense Per SF,Other Bedroom Rent High,Other Bedroom Rent Low,Other Mix,Owner Address,Owner City State Zip,Owner Contact,Owner Name,Owner Phone,Parcel Number 1(Min),Parcel Number 2(Max),Parking Ratio,Parking Spaces/Unit,Percent Leased,Power,Primary Agent Name,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Name,Property Manager Phone,PropertyID,PropertyType,Rail Lines,Rent Type,Rentable Building Area,Secondary Type,Serial,Services,Sewer,Smallest Available Space,Sprinklers,Star Rating,State,Style,Sublet Available Space,Sublet Services,Sublet Vacant Space,Submarket Cluster,Submarket Name,Tax Year,Taxes Per SF,Taxes Total,Three Bedroom Mix,Three Bedroom Rent High,Three Bedroom Rent Low,Total Available Space (SF),Total Buildings,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Total Vacant Available,Two Bedroom Mix,Two Bedroom Rent High,Two Bedroom Rent Low,Typical Floor Size,Vacancy %,Water,Year Built,Year Renovated,Zip,Zoning
,,,,,,,,,,,,-,,-,-,-,-,-,-,,822 Walnut Ave,C,,,,Quarters B,Existing,,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.47,,,38.0971396,,,,,,,-122.2717833,North Bay/Santa Rosa,,,,,,,,0,,,2,2,,,,,,,,,,,,900 Walnut Ave,"Vallejo, CA 94592",,"Lennar Mare Island, LLC",7075624000,0066-020-060,0066-020-060,,,100,,,,,,,,7847112,Office,,,6837,,BYQ5BA,,,,,2 Star,CA,,,,,Solano County,Benicia/Vallejo,,,,,,,,,,,,,,0,,,,3885,,,1941,,94592,
,,,,,,Property Manager on Site,,,,,,-,,-,-,-,-,-,-,,973 Walnut Ave,C,,Bldg 17,,Mare Island,Existing,,,,Vallejo,,,,,,,Solano,5th St,,Lennar Partners,,,,,,,,,Property Manager on Site,,N,,,,0.47,,,38.10007,1850 Gateway Blvd Suite # 130,"Concord, CA 945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.274292,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,,,,United States Navy,,0066-020-060,0066-020-060,,,100,,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA 94590",,Lennar Partners,7075624000,351164,Office,,,1268,,SO4425,,,,,1 Star,CA,,,,,Solano County,Benicia/Vallejo,,,,,,,,,,,,,,0,,,,1268,,,1941,,945921021,
,,,,,,Property Manager on Site,,,,,,9,,-,9,-,-,-,-,,985 Walnut Ave,C,,Quarter 29,,Mare Island,Existing,,,,Vallejo,,,,,Wood Frame,,Solano,,,Lennar Partners,1383,Triple Net,1383,,,,,,Property Manager on Site,,N,,,,0.1241,,,38.1001427,1850 Gateway Blvd Suite # 130,"Concord, CA 945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2740126,North Bay/Santa Rosa,,1383,1383,,,,,0,,,4,1,,,,,,,,,,,,Mare Island Naval Base,"Vallejo, CA 94590",,Lennar Partners,7075624000,0066-020-060,0066-020-060,2.89,,0,,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA 94590",,Lennar Partners,7075624000,6866546,Office,,,1383,,BE8IIA,Direct - Triple Net,,1383,,1 Star,CA,,0,,0,Solano County,Benicia/Vallejo,,,,,,,1383,,,1383,0,1383,0,1383,,,,1383,,,1941,,945921021,Comm
,,,,,,,,,,,,4.08,,-,4.08,-,-,-,-,,1025 Walnut Ave,C,,Quarters M,,Mare Island,Existing,,,,Vallejo,,,,,Masonry,,Solano,,,,7358,Triple Net,7358,,,,,,,,N,,,,0.47,,,38.0989313,1850 Gateway Blvd Suite # 130,"Concord, CA 945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2733279,North Bay/Santa Rosa,,7358,3679,,,,,0,,,4,2,,,,,,,,,,,,900 Walnut Ave,"Vallejo, CA 94592",,"Lennar Mare Island, LLC",7075624000,0066-020-060,0066-020-060,,,0,,Leasing Mare Island,,,,,,7843558,Office,,,7358,,BYMMHA,Direct - Triple Net,,3679,,2 Star,CA,,0,,0,Solano County,Benicia/Vallejo,,,,,,,7358,,,7358,0,7358,0,7358,,,,3679,,,1941,,945921190,
,,,,,,,,,,,,4.08,,-,4.08,-,-,-,-,,1035 Walnut Ave,C,,Quarters L,,Mare Island,Existing,,,,Vallejo,,,,,Masonry,,Solano,,,,7358,Triple Net,7358,,,,,,,,N,,,,0.47,,,38.0987096,1850 Gateway Blvd Suite # 130,"Concord, CA 945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2731248,North Bay/Santa Rosa,,7358,3679,,,,,0,,,2,2,,,,,,,,,,,,900 Walnut Ave,"Vallejo, CA 94592",,"Lennar Mare Island, LLC",7075624000,0066-020-060,0066-020-060,,,0,,Leasing Mare Island,,,,,,7843569,Office,,,7358,,BYMMSA,Direct - Triple Net,,3679,,2 Star,CA,,0,,0,Solano County,Benicia/Vallejo,,,,,,,7358,,,7358,0,7358,0,7358,,,,3679,,,1941,,945921190,
,,,,,,,,,,,,4.08,,-,4.08,-,-,-,-,,1061 Walnut Ave,C,,Quarters J,,Mare Island,Existing,,,,Vallejo,,,,,Masonry,,Solano,,,,7358,Triple Net,7358,,,,,,,,N,,,,0.47,,,38.097975,1850 Gateway Blvd Suite # 130,"Concord, CA 945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.272468,North Bay/Santa Rosa,,7358,3679,,,,,0,,,2,2,,,,,,,,,,,,900 Walnut Ave,"Vallejo, CA 94592",,"Lennar Mare Island, LLC",7075624000,0066-020-060,0066-020-060,,,0,,Leasing Mare Island,,,,,,7844746,Office,,,7358,,BYNTDA,Direct - Triple Net,,3679,,2 Star,CA,,0,,0,Solano County,Benicia/Vallejo,,,,,,,7358,,,7358,0,7358,0,7358,,,,3679,,,1941,,945921190,
,,,,,,,,,,,,4.08,,-,4.08,-,-,-,-,,1085 Walnut Ave,C,,Quarters C,,Mare Island,Existing,,,,Vallejo,,,,,Masonry,,Solano,,,,7358,Triple Net,7358,,,,,,,,N,,,,0.47,,,38.0969192,1850 Gateway Blvd Suite # 130,"Concord, CA 945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2714996,North Bay/Santa Rosa,,7358,3679,,,,,0,,,2,2,,,,,,,,,,,,900 Walnut Ave,"Vallejo, CA 94592",,"Lennar Mare Island, LLC",7075624000,0066-020-060,0066-020-060,,,0,,Leasing Mare Island,,,,,,7847115,Office,,,7358,,BYQ5EA,Direct - Triple Net,,3679,,2 Star,CA,,0,,0,Solano County,Benicia/Vallejo,,,,,,,7358,,,7358,0,7358,0,7358,,,,3679,,,1941,,945921190,
,,,,,,,,,,,,4.08,,-,4.08,-,-,-,-,,1155 Walnut Ave,C,,Quarters E,,Mare Island,Existing,,,,Vallejo,,,,,Masonry,,Solano,,,,7358,Triple Net,7358,,,,,,,,N,,,,0.47,,,38.0960763,1850 Gateway Blvd Suite # 130,"Concord, CA 945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2707306,North Bay/Santa Rosa,,7358,3679,,,,,0,,,5,2,,,,,,,,,,,,900 Walnut Ave,"Vallejo, CA 94592",,"Lennar Mare Island, LLC",7075624000,0066-020-060,0066-020-060,,,0,,Leasing Mare Island,,,,,,7847124,Office,,,7358,,BYQ5NA,Direct - Triple Net,,3679,,2 Star,CA,,0,,0,Solano County,Benicia/Vallejo,,,,,,,7358,,,7358,0,7358,0,7358,,,,3679,,,1941,,945921184,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1195 Walnut Ave,C,,Quarters H,,Mare Island,Existing,,,,Vallejo,,,,,Masonry,,Solano,10th St,,,,Triple Net,,,,,,,,,N,,,,0.47,,,38.095432,1850 Gateway Blvd Suite # 130,"Concord, CA 945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.27016,North Bay/Santa Rosa,,,,,,,,0,,,4,2,,,,,,,,,,,,Mare Island Naval Base,"Vallejo, CA 94590",,Lennar Partners,7075624000,0066-020-060,0066-020-060,,,100,,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA 94590",,Lennar Partners,7075624000,688755,Office,,,7358,,SO0784,Direct - Triple Net,,,,1 Star,CA,,,,,Solano County,Benicia/Vallejo,,,,,,,,,,,,,,0,,,,3679,,,1941,,945921184,Comm
,,,,,,,,,,,,-,,-,-,-,-,-,-,,Waterfront Ave @ 3rd St,C,,Bldg 664A,,Mare Island,Existing,,,,Vallejo,,,,,,,Solano,3rd St,,,,,,,,,,,,,N,,,,0.47,,,38.0903545,1850 Gateway Blvd Suite # 130,"Concord, CA 945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.261338,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,900 Walnut Ave,"Vallejo, CA 94592",,"Lennar Mare Island, LLC",7075624000,0066-020-060,0066-020-060,,,100,,Leasing Mare Island,,,,,,390907,Office,,,3564,,SO2601,,,,,1 Star,CA,,,,,Solano County,Benicia/Vallejo,,,,,,,,,,,,,,0,,,,3564,,,1941,,94590,
,,,,,,Property Manager on Site,,,,,,-,,-,-,-,-,-,-,,Waterfront Ave @ 7th St,C,,Bldg 1345,,Mare Island,Existing,,,,Vallejo,,,,,,,Solano,7th St,,Lennar Partners,,,,,,,,,Property Manager on Site,,N,,,,0.47,,,38.1006069,1850 Gateway Blvd Suite # 130,"Concord, CA 945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2698689,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,,,,United States Navy,,0066-020-060,0066-020-060,,,100,,Leasing Mare Island,Mare Island Naval Base,"Vallejo, CA 94590",,Lennar Partners,7075624000,351177,Office,,,6000,,SO4619,,,,,1 Star,CA,,,,,Solano County,Benicia/Vallejo,,,,,,,,,,,,,,0,,,,6000,,,1941,,94592,
,,,,,,,,,,,,Withheld,,-,Withheld,-,-,-,-,,Nimitz Ave @ 7th St,C,,Bldg 99,,Mare Island,Existing,,,,Vallejo,,,,,Masonry,,Solano,7th St,,,3740,,3740,,,,,,,,N,,,,0.46,,,38.099463,Mare Island Naval Base,"Vallejo, CA 94590",,,Lennar Partners,7075624000,-122.270541,North Bay/Santa Rosa,,7600,3740,,,,,0,,,10,1,,,,,,,,,,,,Mare Island Naval Base,"Vallejo, CA 94590",,Lennar Partners,7075624000,0066-020-060,0066-020-060,2.61,,2.3,,,Mare Island Naval Base,"Vallejo, CA 94590",,Lennar Partners,7075624000,55249,Office,,,3828,,SO7132,,,3740,,1 Star,CA,,0,,0,Solano County,Benicia/Vallejo,,,,,,,3740,,,3740,0,3740,0,3740,,,,3828,,,1941,,94590,Commercial
,,,,,,,,,,,,-,,-,-,-,-,-,-,,912-918 Merchant St,C,,,"2013 Tax @ $2.29/sf, 2014 Est Tax @ $2.50/sf; 2014 Est Ops @ $1.40/sf",,Existing,"2013 Tax @ $2.29/sf, 2014 Est Tax @ $2.50/sf; 2014 Est Ops @ $1.40/sf",5,,Vacaville,,,,,,,Solano,,18,,,,,,,,,2014,,465000,Y,,,,0.2192,3/7/2014 12:00,"245,000.00",38.3484335,,,,,,,-121.9972844,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,3150,1.4,,,,4040 Pamela Ln,"Vacaville, CA  956889707",Thomas Dodge,Thomas J Dodge,,0126-331-100,0126-331-100,,,100,,,,,,,,9052180,Office,,,2254,,C1KQSA,,,,,2 Star,CA,,,,,Solano County,Vacaville/Dixon,2014,2.5,5628,,,,,,,,,,,0,,,,2254,,,1942,,956885316,COMML
,,,,,,,,,,,,-,,-,-,-,-,-,-,,632 1st St,C,,,2013 Tax @ $2.05/sf,,Existing,2013 Tax @ $2.05/sf,5.08,,Benicia,,,,,Masonry,,Solano,,145,,,,,,,,,,,590000,Y,,,,0.2709,41865,1515000,38.04935,,,,,,,-122.1585898,North Bay/Santa Rosa,,,,,,,,0,,,4,1,,,,,,,,,,,,200 Robinwood Ln,"Hillsborough, CA 940107159",Donald Chen,Donald D. Chen & Stephanie P. Chan,6503423192,0089-342-420,0089-342-420,1.9,,100,,,,,,,,6109822,Office,,,2128,,AU1V2A,,,,,2 Star,CA,,,,,Solano County,Benicia/Vallejo,,,,,,,,,,,,,,0,,,,2128,,,1942,,94510,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,823 Marin St,B,,,2013 Tax @ $0.21/sf,,Existing,2013 Tax @ $0.21/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.5969,40501,245000,38.1038107,,,,,,,-122.2569411,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,,,,,,823 Marin St,"Vallejo, CA 94590",,Tonda-roc Family Llc,,0056-161-040,0056-161-040,,,100,,,,,,,,7546392,Office,,,14251,,BM9SWA,,,,,2 Star,CA,,,,,Solano County,Benicia/Vallejo,2013,0.21,3006.54,,,,,,,,,,,0,,,,7954,,,1942,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1924 Springs Rd,C,,,2013 Tax @ $0.14/sf,,Existing,2013 Tax @ $0.14/sf,,,Vallejo,,,,,,,Solano,,,,,,,,,,,,,,N,,,,0.11,,,38.106234,2581 Springs Rd,"Vallejo, CA 945915612",Luis Romero,,Freitas Real Estate,7076444141,-122.219349,North Bay/Santa Rosa,,,,,,,,0,,,2,1,,,,,,,,,,,,543 Del Mar Ave,"Vallejo, CA 94589",,Kuykendall James W & L C,,0069-164-020,0069-164-020,,,100,,Luis Romero,,,,,,359951,Office,,,12000,,SO8581,,,,,2 Star,CA,,,,,Solano County,Benicia/Vallejo,2013,0.14,1626.48,,,,,,,,,,,0,,,,12000,,,1942,,945915520,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,2002 Springs Rd,C,,,2013 Tax @ $2.12/sf,,Existing,2013 Tax @ $2.12/sf,,,Vallejo,,,,,,,Solano,,,,,,,,,,,,,,N,,,,0.14,,,38.1061984,,,,,,,-122.2187961,North Bay/Santa Rosa,,,,,,,,0,,,8,1,,,,,,,,,,,,523 Fuchsia Dr,"Benicia, CA 945103730",,Stephanie A Rochester,,0069-161-010,0069-161-010,5.39,,100,,,,,,,,6093087,Office,,,1484,,AJ7W2A,,,,,2 Star,CA,,,,,Solano County,Benicia/Vallejo,2013,2.12,3144.74,,,,,,,,,,,0,,,,1483,,,1942,,94591,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1043 Grant St,C,,,2013 Tax @ $4.27/sf,,Existing,2013 Tax @ $4.27/sf,,,Benicia,,,,,,,Solano,,,,,,,,,,,,,,N,,,,0.287,38030,375000,38.04571,,,,,,,-122.136222,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,141 Panorama Dr,"Benicia, CA 945101629",,Delando R & Zorina A Pegan,7076491464,0080-150-260,0080-150-260,,,100,,,,,,,,804660,Office,,,1088,,SO1740,,,,,2 Star,CA,,,,,Solano County,Benicia/Vallejo,2013,4.27,4643.74,,,,,,,,,,,0,,,,1088,,,1943,,945102919,"N/Av, Benicia"
,,,,,,,,,,,,12,,-,12,-,-,-,-,,707 Kentucky St,C,,,2009 Tax @ $2.30/sf,,Existing,2009 Tax @ $2.30/sf,,,Fairfield,,,,,Wood Frame,,Solano,,,,1100,Modified Gross,1100,,,,,,,,N,,,,0.17,,,38.2512002,1300 Oliver Rd Suite # 300,"Fairfield, CA  945343413",Chris Wallace,7074219958,"Premier Commercial, Inc.",7074367300,-122.0422834,North Bay/Santa Rosa,,1100,1100,,,,,0,,,,1,,,,,,,,,,,,1765 Lehi Ct,"Fairfield, CA  94534",,Blythe Thomas W & Janet D,,0030-185-030,0030-185-030,,,0,,Chris Wallace,,,,,,7910314,Office,,,1100,,B3TG5A,Direct - Modified Gross,,1100,,2 Star,CA,,0,,0,Solano County,Fairfield/Suisun City,2009,2.3,2532.48,,,,1100,,,1100,0,1100,0,1100,,,,1100,,,1944,,94533,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,717 Kentucky St,C,,,2009 Tax @ $1.69/sf,,Existing,2009 Tax @ $1.69/sf,,,Fairfield,,,,,Wood Frame,,Solano,,,,,,,,,,,,,,N,,,,0.17,,,38.2512008,1300 Oliver Rd Suite # 300,"Fairfield, CA  945343413",Ron Waslohn,7074219958,"Premier Commercial, Inc.",7074367300,-122.0424546,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,1765 Lehi Ct,"Fairfield, CA  94534",,Blythe Thomas W & Janet D,,0030-185-030,0030-185-030,,,100,,Ron Waslohn,,,,,,7910319,Office,,,1500,,B3TI4A,,,,,2 Star,CA,,,,,Solano County,Fairfield/Suisun City,2009,1.69,2532.48,,,,,,,,,,,0,,,,1500,,,1944,,94533,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,401 Boyd St,C,,,2013 Tax @ $2.23/sf,,Existing,2013 Tax @ $2.23/sf,,,Vacaville,,,,,Wood Frame,,Solano,,,,,,,,,,,,,,N,,,,0.0999,,,38.3547384,,,,,,,-121.9884844,North Bay/Santa Rosa,,,,,,,,0,,,7,1,,,,,,,,,,,,111 Hidden Glen Ct,"Vacaville, CA  956882450",,Dassah Family 1996 Trust,,0130-235-110,0130-235-110,6.38,,100,,,,,,,,5579017,Office,,,1098,,AGLURA,,,,,2 Star,CA,,,,,Solano County,Vacaville/Dixon,2013,2.23,2446.84,,,,,,,,,,,0,,,,1098,,,1944,,95688,CC
,,,,,,,,,,,,-,,-,-,-,-,-,-,,405 Boyd St,C,,,2013 Tax @ $1.51/sf,,Existing,2013 Tax @ $1.51/sf,,,Vacaville,,,,,Wood Frame,,Solano,,,,,,,,,,,,,,N,,,,0.13,,,38.3545901,,,,,,,-121.9884699,North Bay/Santa Rosa,,,,,,,,0,,,4,1,,,,,,,,,,,,405 Boyd St,"Vacaville, CA  956884521",,Dassah Harry & Norma B,,0130-235-100,0130-235-100,2.27,,100,,,,,,,,5579022,Office,,,1760,,AGLXQA,,,,,2 Star,CA,,,,,Solano County,Vacaville/Dixon,2013,1.51,2663.34,,,,,,,,,,,0,,,,1759,,,1944,,95688,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,409 Boyd St,C,,,2013 Tax @ $1.59/sf,,Existing,2013 Tax @ $1.59/sf,,,Vacaville,,,,,Wood Frame,,Solano,,,,,,,,,,,,,,N,,,,0.13,,,38.35444,,,,,,,-121.9884686,North Bay/Santa Rosa,,,,,,,,0,,,5,1,,,,,,,,,,,,409 Boyd St,"Vacaville, CA  95688",,Jackson Pamela C,,0130-235-090,0130-235-090,3.6,,100,,,,,,,,5579030,Office,,,1390,,AGM3QA,,,,,2 Star,CA,,,,,Solano County,Vacaville/Dixon,2013,1.59,2216.54,,,,,,,,,,,0,,,,1390,,,1944,,95688,
,,,,,,Signage,,,,,,-,,-,-,-,-,-,-,,537 Merchant St,C,,,"2013 Tax @ $2.06/sf, 2011 Est Tax @ $1.94/sf; 2010 Ops @ $0.84/sf, 2011 Est Ops @ $0.84/sf",,Existing,"2013 Tax @ $2.06/sf, 2011 Est Tax @ $1.94/sf; 2010 Ops @ $0.84/sf, 2011 Est Ops @ $0.84/sf",,,Vacaville,,,,,Wood Frame,,Solano,,,,,,,,,,,,Signage,,N,,,,0.16,,,38.3528608,750 Mason St Suite # 101,"Vacaville, CA  956884511",Bob Solomon,7074476163,Gateway Realty,7074476100,-121.9916941,North Bay/Santa Rosa,,,,,,,,0,,,4,1,,,,,,,,,,,,750 Mason St Suite # 101,"Vacaville, CA  956884511",Bob Solomon,Gateway Realty,7074476100,0130-236-150,0130-236-150,4,,100,,Bob Solomon,750 Mason St Suite # 101,"Vacaville, CA  956884511",Bob Solomon,Gateway Realty,7074476100,5636414,Office,,,1000,,AGRMSA,,,,,2 Star,CA,,,,,Solano County,Vacaville/Dixon,2013,2.06,2059.5,,,,,,,,,,,0,,,,1000,,,1944,,95688,C
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1516 Napa St,B,,,2013 Tax @ $1.60/sf,,Existing,2013 Tax @ $1.60/sf,,,Vallejo,,,,,,,Solano,,,,,,,,,,,,,,N,,,,0.068,,,38.1095185,,,,,,,-122.2511747,North Bay/Santa Rosa,,,,,,,,0,,,2,1,,,,,,,,,,,,1516 Napa St,"Vallejo, CA 94590",,Pelham Kimberly Ann,,0056-083-010,0056-083-010,1.54,,100,,,,,,,,5946279,Office,,,1297,,ATX7NA,,,,,2 Star,CA,,,,,Solano County,Benicia/Vallejo,2013,1.6,2079.18,,,,,,,,,,,0,,,,1297,,,1944,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,914-918 Tennessee St,B,,Central Bldg,2013 Tax @ $1.04/sf,,Existing,2013 Tax @ $1.04/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.1492,37351,750000,38.110091,,,,,,,-122.247561,North Bay/Santa Rosa,,,,,,,,0,,,,2,,,,,,,,,,,,920 Tennessee St,"Vallejo, CA 945904546",,"Revival Center Ministries, Inc.",7076422010,0056-062-170,0056-062-170,,,100,,,,,,,,354879,Office,,,4400,,SO5757,,,,,2 Star,CA,,,,,Solano County,Benicia/Vallejo,2013,1.04,4559.48,,,,,,,,,,,0,,,,4400,,,1944,,945904546,
,,,,,,Conferencing Facility,,,,,,-,,-,-,-,-,-,-,,920 Tennessee St,B,,,2013 Tax @ $0.40/sf,,Existing,2013 Tax @ $0.40/sf,,,Vallejo,,,,,Reinforced Concrete,,Solano,,,,,,,,,,,,Conferencing Facility,,N,,,,0.2984,37351,750000,38.110138,,,,,,,-122.247392,North Bay/Santa Rosa,,,,,,,,0,,,,2,,,,,,,,,,,,920 Tennessee St,"Vallejo, CA 945904546",,"Revival Center Ministries, Inc.",7076422010,0056-062-160,0056-062-160,,,100,,,,,,,,37170,Office,,,15500,,SO9057,,,,,2 Star,CA,,,,,Solano County,Benicia/Vallejo,2013,0.4,6238.94,,,,,,,,,,,0,,,,5167,,,1944,,945904546,C-1
,,,,,,,,,,,,-,,-,-,-,-,-,-,,120-128 W H St,C,,,2013 Tax @ $0.73/sf,,Existing,2013 Tax @ $0.73/sf,,,Benicia,,,,,Wood Frame,,Solano,,,,,,,,,,,,,,N,,,,0.17,36769,480000,38.0506208,,,,,,,-122.158623,North Bay/Santa Rosa,,,,,,,,0,,,6,1,,,,,,,,,,,,120 W H St,"Benicia, CA 94510",FLEMING LINDA,FLEMING LINDA,7077511973,0089-113-210,0089-113-210,1.08,,100,,,,,,,,6114952,Office,,,5563,,AV7MQA,,,,,2 Star,CA,,,,,Solano County,Benicia/Vallejo,2013,0.73,4034.72,,,,,,,,,,,0,,,,5563,,,1945,,94510,
,,,,,,,,,,,,Withheld,,-,Withheld,Withheld,-,-,-,,902 Davis St,F,,,2013 Tax @ $0.39/sf,,Existing,2013 Tax @ $0.39/sf,,,Vacaville,,,,,Wood Frame,,Solano,,1026,,1100,,1100,,,,,,,225000,Y,,,,0.5,,,38.346962,956 Granada Ln,"Vacaville, CA  95688",Sam Lopez,,Lopez Mary Petra,7076785157,-121.986735,North Bay/Santa Rosa,,1100,1100,,,,,0,,,6,1,,,,,,,,,,,,956 Granada Ln,"Vacaville, CA  95688",Sam Lopez,Lopez Mary Petra,7076785157,0127-230-040,0127-230-040,5.45,,0,,Sam Lopez,956 Granada Ln,"Vacaville, CA  95688",Sam Lopez,Lopez Mary Petra,7076785157,8342713,Office,,,1100,,CBIUDA,,,1100,,1 Star,CA,,0,,0,Solano County,Vacaville/Dixon,2013,0.39,429.98,,,,1100,,,1100,0,1100,0,1100,,,,1100,,,1948,,95687,C
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1646 Broadway St,C,,,2013 Tax @ $0.75/sf,,Existing,2013 Tax @ $0.75/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.24,,,38.125436,,,,,,,-122.250017,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,,,,,,22 Seabreeze Dr,"Richmond, CA 94804",,Edilberto Concepcion,,0053-021-050,0053-021-050,1.96,,100,,,,,,,,6080027,Office,,,5090,Medical,AAT32A,,,,,1 Star,CA,,,,,Solano County,Benicia/Vallejo,2013,0.75,3820.86,,,,,,,,,,,0,,,,5089,,,1948,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,841 Georgia St,C,,,2013 Tax @ $0.97/sf,,Existing,2013 Tax @ $0.97/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.1119,,,38.1007894,,,,,,,-122.2486614,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,,,,,,PO BOX 780,"PINOLE, CA 94564",,Vasilieff Alex,,0056-206-090,0056-206-090,4.66,,100,,,,,,,,6029001,Office,,,2144,,AFTZ1A,,,,,1 Star,CA,,,,,Solano County,Benicia/Vallejo,2013,0.97,2079.18,,,,,,,,,,,0,,,,2143,,,1948,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,459 Marvin Way,C,,,2013 Tax @ $0.94/sf,,Existing,2013 Tax @ $0.94/sf,,,Dixon,,,,,,,Solano,,,,,,,,,,,,,,N,,,,0.3719,,,38.444575,350 W A St,"Dixon, CA  95620",Dana Foss,,Real Estate Solutions,7076787386,-121.826945,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,249 Wrentham Dr,"Vacaville, CA  956889283",Adam Ascher,Ascher Properties,7076781800,0114-083-160,0114-083-160,,,100,,Dana Foss,,,,,,5518575,Office,,,4240,,AD5VPA,,,,,1 Star,CA,,,,,Solano County,Vacaville/Dixon,2013,0.94,3988.14,,,,,,,,,,,0,,,,4240,,,1949,,956203337,
